Year,DOY,Blue,Green,Red,NIR,SWIR1,SWIR2,ClearFlag
2015,3,637,913,983,2013,1890,1483,0
2015,10,543,913,928,2027,1826,1367,0
2015,19,618,839,948,1997,1963,1532,1
2015,26,5374,5606,5989,6187,4602,4114,0
2015,35,630,842,965,2007,1918,1453,1
2015,42,7373,7315,7366,7327,2799,3009,0
2015,51,9027,8566,8729,8507,5029,3963,0
2015,58,7275,7586,7749,7847,3989,4239,0
2015,67,5600,5612,5641,5793,1907,2108,0
2015,74,965,1493,1562,3139,2225,1835,0
2015,83,629,888,909,2443,1816,1375,0
2015,90,3209,3281,3202,4638,2731,2030,0
2015,99,611,946,906,2868,1865,1352,0
2015,106,582,869,920,2881,1795,1326,1
2015,115,421,632,595,3162,1434,896,0
2015,122,9495,9035,9122,9460,5637,4316,0
2015,131,5137,5190,5157,5743,1727,1955,0
2015,138,362,542,455,3067,1397,788,1
2015,147,488,665,570,3245,1603,923,0
2015,154,220,407,400,2235,910,515,1
2015,163,493,648,718,2742,1820,1113,1
2015,170,2323,2314,2236,3216,2069,1194,0
2015,179,4571,4488,4573,5273,4557,3467,0
2015,186,4576,4176,4154,4624,2209,2174,0
2015,195,397,685,541,3051,1593,800,0
2015,202,280,400,414,2095,397,324,0
2015,211,4461,3988,3914,5038,2388,2247,0
2015,218,1952,2022,1921,4718,2261,1350,0
2015,227,266,581,416,3374,1326,592,0
2015,234,310,625,455,3529,1461,655,0
2015,243,8990,8373,8544,8407,2289,2590,0
2015,250,285,408,317,2829,1271,618,1
2015,259,380,663,515,3057,1458,726,0
2015,266,207,569,390,2523,951,544,0
2015,275,595,739,766,2542,1774,1142,1
2015,282,347,513,498,2190,1358,876,1
2015,291,1135,1425,1384,2503,1865,1176,0
2015,298,5463,5450,5572,5968,5040,4677,0
2015,307,427,665,632,2298,1601,1018,0
2015,314,7351,6809,6812,6651,4275,3666,0
2015,323,7248,7448,7409,7226,5556,4543,0
2015,330,3922,3844,3813,4902,635,744,0
2015,339,6983,6426,6367,6240,2358,2651,0
2015,346,4311,4737,4728,5385,4217,3681,0
2015,355,581,812,827,1803,1720,1249,0
2015,362,567,877,922,1956,1777,1332,0
2016,6,8207,7675,7878,7420,4250,3783,0
2016,13,531,779,837,1644,1600,1254,0
2016,22,7139,7405,7569,7454,2585,2886,0
2016,29,1973,2630,3095,4484,4060,3031,0
2016,38,692,904,1033,1749,1988,1629,0
2016,45,4340,4388,4446,5040,2577,2725,0
2016,54,699,890,1010,1991,1997,1574,0
2016,61,734,1003,1104,1966,2070,1663,0
2016,70,671,854,1004,1949,1993,1620,0
2016,77,2884,3180,3366,4595,3827,3561,0
2016,86,637,861,925,2254,1804,1373,0
2016,93,8527,8230,8326,8369,6331,5020,0
2016,102,2030,2106,2007,3898,1765,1262,0
2016,109,438,568,526,2889,1450,933,1
2016,118,565,903,789,4378,1917,1236,0
2016,125,406,537,507,2969,1384,865,1
2016,134,379,512,525,3216,1525,827,1
2016,141,1784,1890,1844,3718,1104,1010,0
2016,150,407,671,578,2870,1471,849,0
2016,157,8694,8630,8816,9154,3464,2793,0
2016,166,4473,4431,4585,5288,2925,2782,0
2016,173,389,661,606,2795,1491,884,0
2016,182,3258,3145,3128,3969,1461,1401,0
2016,189,1310,1631,1587,3927,2616,1709,0
2016,198,1721,1653,1573,4075,1808,1274,0
2016,205,944,1156,990,3349,1645,990,0
2016,214,7913,7340,7345,7508,4064,3718,0
2016,221,5990,5819,5797,7319,5385,4116,0
2016,230,8081,7538,7708,8143,6170,4277,0
2016,237,260,592,383,3253,1350,635,0
2016,246,346,500,440,2970,1386,740,1
2016,253,383,668,575,3130,1473,865,0
2016,262,378,639,497,2698,1317,759,0
2016,269,2275,2586,2815,4249,3582,2975,0
2016,278,413,662,630,2688,1575,915,0
2016,285,528,890,897,2777,1838,1374,0
2016,294,7201,6825,7084,7723,4899,3941,0
2016,301,9226,9056,9013,8832,6536,5819,0
2016,310,361,667,538,2435,1425,812,0
2016,317,7628,7643,7955,8023,6722,5603,0
2016,326,7738,7423,7402,7126,3250,2199,0
2016,333,548,796,840,2100,1803,1309,0
2016,342,574,837,889,2209,1846,1371,0
2016,349,539,829,869,2133,1780,1318,0
2016,358,486,900,987,1828,1139,865,0
2016,365,562,904,919,2131,1808,1345,0
2017,8,8666,8553,8946,8583,6836,5787,0
2017,15,1341,1925,2007,3559,2345,2087,0
2017,24,597,895,887,1879,1730,1344,0
2017,31,510,815,836,1678,1420,1196,0
2017,40,571,734,858,1866,1802,1435,1
2017,47,646,911,969,1906,1811,1412,0
2017,56,700,910,1034,2058,2166,1736,0
2017,63,858,1245,1329,2764,2492,2019,0
2017,72,7087,6320,6232,6307,2043,2308,0
