Year,DOY,Blue,Green,Red,NIR,SWIR1,SWIR2,ClearFlag
2015,276,0,0,0,0,0,0,0
2015,296,0,0,0,0,0,0,0
2015,316,5245,5443,5476,6021,5205,4373,0
2015,326,8025,8493,8533,8696,6074,5004,0
2015,329,0,0,0,0,0,0,0
2015,339,5972,6167,5846,6136,2720,2981,0
2015,356,8788,8917,8603,8297,5357,3825,0
2015,359,0,0,0,0,0,0,0
2016,1,0,0,0,0,0,0,0
2016,4,5356,5757,5349,5559,3189,2681,0
2016,14,0,0,0,0,0,0,0
2016,21,468,658,766,1384,1372,1092,1
2016,24,0,0,0,0,0,0,0
2016,31,0,0,0,0,0,0,0
2016,34,717,851,975,1646,2423,1970,1
2016,41,0,0,0,0,0,0,0
2016,64,617,871,1015,2009,2027,1505,1
2016,81,629,896,1022,2488,2037,1618,0
2016,94,393,639,645,2486,1439,1074,0
2016,101,0,0,0,0,0,0,0
2016,104,0,0,0,0,0,0,0
2016,111,5360,5255,5025,5739,1430,1591,0
2016,114,0,0,0,0,0,0,0
2016,121,0,0,0,0,0,0,0
2016,124,0,0,0,0,0,0,0
2016,131,0,0,0,0,0,0,0
2016,134,437,625,568,3312,1459,914,0
2016,144,0,0,0,0,0,0,0
2016,151,0,0,0,0,0,0,0
2016,154,2035,1962,1875,3248,1665,1337,0
2016,161,621,755,749,2594,1717,1048,0
2016,164,0,0,0,0,0,0,0
2016,171,0,0,0,0,0,0,0
2016,174,680,825,797,2849,1802,1113,1
2016,181,6236,6279,6390,6754,6093,5404,0
2016,184,0,0,0,0,0,0,0
2016,191,0,0,0,0,0,0,0
2016,194,4768,4841,4703,5406,2824,2656,0
2016,201,2460,2422,2372,4279,1982,1502,0
2016,204,0,0,0,0,0,0,0
2016,211,0,0,0,0,0,0,0
2016,214,6998,7164,7218,8162,4910,3753,0
2016,221,6674,6432,6195,6952,5511,4083,0
2016,224,0,0,0,0,0,0,0
2016,231,0,0,0,0,0,0,0
2016,234,2195,2416,2319,4585,2826,1771,0
2016,241,225,363,302,2845,1461,764,1
2016,244,0,0,0,0,0,0,0
2016,251,0,0,0,0,0,0,0
2016,254,286,440,373,2713,1408,740,1
2016,261,403,628,571,2828,1584,871,1
2016,264,0,0,0,0,0,0,0
2016,271,0,0,0,0,0,0,0
2016,274,412,776,898,2350,2001,1511,0
2016,284,0,0,0,0,0,0,0
2016,291,0,0,0,0,0,0,0
2016,294,5386,6331,6650,6859,4240,3245,0
2016,301,6198,6629,5806,6324,4483,4055,0
2016,304,334,644,622,2488,1609,1037,0
2016,314,396,778,787,2841,1630,1234,0
2016,321,3590,3937,3985,4915,3825,3402,0
2016,324,8402,8893,8862,9134,3010,3561,0
2016,331,546,805,918,2209,2009,1468,1
2016,334,0,0,0,0,0,0,0
2016,341,510,767,896,2091,1979,1489,1
2016,344,4065,4267,4109,4643,2865,2613,0
2016,351,0,0,0,0,0,0,0
2016,354,4755,5230,5459,5869,5934,5240,0
2016,361,6561,6902,6904,7023,4413,4371,0
2016,364,2812,3180,3457,4136,3721,3058,0
2017,5,8343,8584,8312,7934,6154,5102,0
2017,15,2279,2657,2801,3865,2299,2134,0
2017,18,2618,3030,3275,4250,2856,2349,0
2017,28,5867,5917,5651,5548,2807,2253,0
2017,38,7385,7651,7604,7896,5460,4726,0
2017,45,3218,3389,3374,3945,1829,1762,0
2017,55,0,0,0,0,0,0,0
2017,58,675,894,1055,2087,2212,1763,1
2017,65,707,959,1195,2234,2553,2138,0
2017,68,0,0,0,0,0,0,0
2017,75,0,0,0,0,0,0,0
2017,78,731,1012,1285,2405,2575,2179,1
2017,85,662,934,1211,2400,2452,2137,1
2017,88,0,0,0,0,0,0,0
2017,95,0,0,0,0,0,0,0
2017,98,8914,9129,9052,9372,4039,3543,0
2017,105,1705,2048,2065,3938,1811,1570,0
2017,108,0,0,0,0,0,0,0
2017,118,793,1104,1338,2937,2460,2088,1
2017,125,655,979,1016,3408,2177,1664,1
2017,128,0,0,0,0,0,0,0
2017,135,0,0,0,0,0,0,0
2017,138,834,1098,1199,2924,2420,1913,1
2017,145,781,1128,1322,2928,2649,2184,1
2017,148,0,0,0,0,0,0,0
2017,155,0,0,0,0,0,0,0
2017,158,628,899,1060,2438,2376,1895,1
2017,165,763,1042,1245,2718,2716,2194,1
2017,168,0,0,0,0,0,0,0
2017,175,0,0,0,0,0,0,0
2017,178,819,1075,1124,2920,2622,1960,1
2017,185,604,789,862,2955,2604,1854,0
2017,188,0,0,0,0,0,0,0
2017,195,0,0,0,0,0,0,0
2017,198,6468,6589,6442,7472,3900,2971,0
2017,208,0,0,0,0,0,0,0
2017,215,0,0,0,0,0,0,0
2017,218,442,746,600,3879,1929,1081,1
2017,225,403,725,557,3938,2116,1184,1
2017,228,0,0,0,0,0,0,0
2017,238,0,0,0,9237,5859,4360,0
2017,245,4658,4763,4820,5838,3726,2721,0
2017,248,0,0,0,0,0,0,0
2017,255,0,0,0,0,0,0,0
2017,258,0,0,917,3319,2038,1228,0
2017,265,536,792,771,3041,2145,1413,1
2017,268,0,0,0,0,0,0,0
2017,275,0,0,0,0,0,0,0
2017,278,957,1413,1634,3476,3251,2620,0
2017,295,0,0,0,0,0,0,0
2017,298,6737,7213,7136,7651,5604,4012,0
2017,305,6259,6478,6243,6849,2599,2778,0
2017,308,0,0,0,0,0,0,0
2017,315,0,0,0,0,0,0,0
2017,318,623,938,1054,2461,2334,1767,1
2017,325,728,1056,1235,2727,2596,2055,1
2017,328,0,0,0,0,0,0,0
2017,335,0,0,0,0,0,0,0
2017,338,662,952,1111,2489,2353,1836,1
2017,345,690,982,1169,2370,2376,1949,1
2017,348,0,0,0,0,0,0,0
2017,355,0,0,0,0,0,0,0
2017,358,734,1066,1274,2422,2483,2020,1
2017,365,663,996,1259,2313,2391,1972,1
2018,3,0,0,0,0,0,0,0
2018,13,757,1017,1263,2312,2444,2003,0
2018,20,1811,2257,2666,3611,3194,2831,0
2018,23,0,0,0,0,0,0,0
2018,33,735,1029,1316,2199,2447,2089,0
2018,40,743,992,1227,1986,2225,1927,0
2018,43,763,1094,1395,2230,2573,2171,0
2018,50,874,1157,1501,2904,2236,1904,0
2018,53,760,1076,1376,2264,2540,2131,0
2018,60,688,949,1236,2397,2287,1912,0
2018,70,747,1052,1296,2388,2482,2080,1
2018,73,698,972,1196,2322,2436,1960,1
2018,83,599,867,1066,2312,2170,1727,1
2018,90,620,906,1059,2533,2067,1709,0
2018,93,2663,2687,2459,3674,2220,1480,0
2018,100,2900,3026,2964,4157,2185,1938,0
2018,103,9191,9393,9387,9671,3436,3052,0
2018,110,700,992,1168,2933,2380,1929,1
2018,113,8024,8360,8464,9199,7197,5624,0
2018,130,623,1012,1149,3091,2390,1829,1
2018,133,639,973,1056,3050,2152,1660,1
2018,140,3820,3862,3751,5024,3952,3858,0
2018,143,308,616,575,1946,1188,876,0
2018,153,3018,3217,3263,4399,3350,3342,0
2018,160,8000,8120,8284,8869,4687,3712,0
2018,163,548,847,881,2707,2329,1606,1
2018,170,628,969,1097,3115,2595,1884,0
2018,173,725,941,996,3540,2239,1672,0
2018,180,3795,3686,3530,4305,1467,1609,0
2018,190,6455,6161,5786,6596,4047,3480,0
2018,193,367,640,553,2742,1150,622,0
2018,200,439,741,651,3859,2293,1372,1
2018,203,478,770,671,3906,2245,1327,1
2018,210,528,771,717,3780,1885,1105,1
2018,213,624,913,784,3694,2086,1253,1
2018,220,473,732,665,3669,2255,1360,1
2018,223,390,638,622,4047,1989,1164,1
2018,230,7745,7870,7904,7953,1900,2368,0
2018,233,330,627,509,3408,1868,1033,0
2018,243,8606,8842,8808,9488,6026,4689,0
2018,250,389,747,668,3588,2138,1395,1
2018,253,0,0,0,5667,3911,3393,0
2018,260,6814,6734,6512,6852,5502,4475,0
2018,270,495,773,704,2975,2046,1326,1
2018,273,527,822,855,3081,2416,1793,1
2018,280,604,919,1043,2620,2399,1839,1
2018,283,626,917,1018,2624,2358,1886,1
2018,290,616,973,1060,2859,2428,1939,1
2018,293,4791,4890,4721,5209,2040,2180,0
2018,300,551,897,1042,2687,2435,1975,1
2018,303,576,861,992,2578,2315,1860,1
2018,310,6590,6802,6752,6822,1839,2089,0
2018,313,444,737,757,2554,1843,1313,1
2018,320,561,983,1292,3521,2323,1920,0
2018,323,558,846,867,2585,2005,1539,1
2018,330,4491,4770,4762,5068,4187,3416,0
2018,333,6381,7047,7355,7938,7220,6352,0
2018,340,632,849,1009,2422,1958,1625,0
2018,343,853,1077,1109,2402,2021,1749,0
2018,350,433,778,1056,2509,2300,1970,1
2018,353,3495,3746,3638,4499,2253,2405,0
2018,360,1562,2075,2353,4066,2895,2728,0
2018,363,735,995,1159,2233,2288,2009,0
2019,5,744,1020,1256,2291,2456,2189,0
2019,8,4066,4493,4491,5714,2808,2967,0
2019,15,624,932,1049,2150,1772,1692,0
2019,18,6046,6056,5930,6285,2642,3087,0
2019,25,664,876,1052,2078,1867,1668,0
2019,28,3800,4401,4517,5512,2850,3065,0
2019,35,735,986,1211,2779,2162,2001,0
2019,38,802,1148,1404,2529,2565,2215,0
2019,45,8484,8868,8949,9039,4794,3641,0
2019,48,632,890,1050,1895,1776,1593,0
2019,55,3633,3861,3937,4436,2037,2206,0
2019,58,1150,1527,1858,2861,2073,1868,0
2019,65,764,1079,1389,2330,2481,2244,0
2019,68,634,974,1273,2522,2321,1982,0
2019,75,750,1051,1359,2423,2460,2202,0
2019,78,700,1022,1212,2704,2220,1883,0
2019,85,702,987,1128,2586,1995,1767,0
2019,88,6104,6257,6132,6687,2569,2533,0
2019,95,712,1018,1172,2883,2243,1839,0
2019,98,7332,7418,7189,7271,3442,2525,0
2019,105,685,1010,1193,2924,2307,1924,0
2019,108,674,936,1027,3070,2162,1734,1
